央视频道,#genre#
CCTV9,http://123.10.78.233:808/hls/9/index.m3u8
CCTV10,http://114.104.171.233:20080/hls/11/index.m3u8
CCTV10,http://123.13.244.84:7000/hls/69/index.m3u8
CCTV10,http://111.61.236.247:9081/hls/10/index.m3u8
CCTV10,http://182.122.72.181:8089/hls/10/index.m3u8
CCTV10,http://118.249.4.215:8082/hls/11/index.m3u8
CCTV10,http://110.52.8.243:808/hls/11/index.m3u8
CCTV10,http://110.52.8.166:808/hls/11/index.m3u8
CCTV10,http://1.70.11.191:808/hls/10/index.m3u8
CCTV11,http://114.104.171.233:20080/hls/49/index.m3u8
CCTV11,http://123.10.77.30:808/hls/11/index.m3u8
CCTV11,http://60.220.147.32:808/hls/11/index.m3u8
CCTV11,http://123.10.78.233:808/hls/11/index.m3u8
CCTV11,http://111.61.236.247:9081/hls/11/index.m3u8
CCTV11,http://110.52.8.166:808/hls/12/index.m3u8
CCTV11,http://118.249.4.215:8082/hls/12/index.m3u8
CCTV11,http://221.0.78.26:881/hls/50211/index.m3u8
CCTV12,http://114.104.171.233:20080/hls/12/index.m3u8
CCTV12,http://60.220.147.32:808/hls/12/index.m3u8
CCTV12,http://60.220.147.154:808/hls/12/index.m3u8
CCTV12,http://110.241.188.74:808/hls/12/index.m3u8
CCTV12,http://123.13.244.84:7000/hls/71/index.m3u8
CCTV12,http://123.10.77.30:808/hls/12/index.m3u8
CCTV12,http://118.249.4.215:8082/hls/13/index.m3u8
CCTV12,http://110.52.8.243:808/hls/13/index.m3u8
CCTV13,http://114.104.171.233:20080/hls/50/index.m3u8
CCTV13,http://123.10.77.236:808/hls/13/index.m3u8
CCTV13,http://60.220.147.32:808/hls/13/index.m3u8
CCTV13,http://60.220.147.154:808/hls/13/index.m3u8
CCTV13,http://110.52.8.166:808/hls/14/index.m3u8
CCTV13,http://123.10.78.233:808/hls/13/index.m3u8
CCTV13,http://118.249.4.215:8082/hls/14/index.m3u8
CCTV13,http://1.70.11.191:808/hls/13/index.m3u8
CCTV14,http://123.10.78.233:808/hls/14/index.m3u8
CCTV14,http://60.220.147.32:808/hls/14/index.m3u8
CCTV14,http://221.0.78.198:1681/hls/10214/index.m3u8
CCTV14,http://123.10.77.236:808/hls/14/index.m3u8
CCTV14,http://60.220.147.154:808/hls/14/index.m3u8
CCTV14,http://123.13.244.84:7000/hls/73/index.m3u8
CCTV14,http://114.104.171.233:20080/hls/13/index.m3u8
CCTV14,http://118.249.4.215:8082/hls/15/index.m3u8
CCTV15,http://60.220.147.32:808/hls/15/index.m3u8
CCTV15,http://60.220.147.154:808/hls/15/index.m3u8
CCTV15,http://114.104.171.233:20080/hls/51/index.m3u8
CCTV15,http://123.13.244.84:7000/hls/74/index.m3u8
CCTV15,http://123.10.77.236:808/hls/15/index.m3u8
CCTV15,http://123.10.78.233:808/hls/15/index.m3u8
CCTV15,http://1.24.190.134:10080/hls/15/index.m3u8
CCTV15,http://118.249.4.215:8082/hls/16/index.m3u8
CCTV16,http://222.219.183.103:8089/hls/16/index.m3u8
CCTV16外语,http://110.241.188.74:808/hls/16/index.m3u8
CCTV17,http://222.219.183.103:8089/hls/17/index.m3u8
CCTVNEWS,http://111.61.236.247:9081/hls/16/index.m3u8
CCTV七套,http://58.17.48.228:808/hls/24/index.m3u8
CCTV三套,http://58.17.48.228:808/hls/3/index.m3u8
CCTV九套,http://58.17.48.228:808/hls/16/index.m3u8
