河南城建学院,#genre#
魅力足球,http://39.164.174.139:5000/nl.m3u8?id=MLZQHD

乐游,http://39.164.174.139:5000/nl.m3u8?id=LYHD

游戏风云,http://39.164.174.139:5000/nl.m3u8?id=YXFYHD

生活时尚,http://39.164.174.139:5000/nl.m3u8?id=SHSSHD

新动漫,http://39.164.174.139:5000/nl.m3u8?id=XDM

茶频道,http://39.164.174.139:5000/nl.m3u8?id=CPDHD

快乐垂钓,http://39.164.174.139:5000/nl.m3u8?id=KLCDHD

金鹰卡通,http://39.164.174.139:5000/nl.m3u8?id=JYKT

嘉佳卡通,http://39.164.174.139:5000/nl.m3u8?id=JJKT

山东教育,http://39.164.174.139:5000/nl.m3u8?id=SDJY
北京卫视超超高清,http://150.138.77.132:10037/北京卫视.php

酷狗北京卫视超超高清ku9js/ku9js.js?id=https://www.brtn.cn/btv/btvsy_index
